Veiculo;Data;Hora;Cidade;UF;Velocidade;Latitude;Longitude;Via
101704;2026-02-26;11:00;ITATIBA;SP;41;-23.0083;-46.819;Rodovia Luciano Consoline
101704;2026-02-26;11:00;ITATIBA;SP;0;-23.0151;-46.8407;Rua Francisco Carride
101704;2026-02-26;11:00;ITATIBA;SP;2;-23.0152;-46.8407;Rua Francisco Carride
101704;2026-02-26;11:00;ITATIBA;SP;0;-23.0152;-46.8407;Rua Francisco Carride
101704;2026-02-26;11:00;ITATIBA;SP;0;-23.0155;-46.8407;Próx. Rua Antônio Schiavinatto
101704;2026-02-27;21:00;ITATIBA;SP;0;-22.9944;-46.7898;Próx. Rodovia Dom Pedro I
101704;2026-02-27;22:00;ITATIBA;SP;0;-22.9944;-46.7898;Próx. Rodovia Dom Pedro I
101704;2026-02-27;22:00;ITATIBA;SP;0;-22.9944;-46.7898;Próx. Rodovia Dom Pedro I
101704;2026-02-27;22:00;ITATIBA;SP;0;-22.9944;-46.7898;Próx. Rodovia Dom Pedro I
101704;2026-02-27;22:00;ITATIBA;SP;0;-22.9944;-46.7898;Próx. Rodovia Dom Pedro I
101704;2026-02-27;22:00;ITATIBA;SP;0;-22.9944;-46.7898;Próx. Rodovia Dom Pedro I
101704;2026-02-27;22:00;ITATIBA;SP;0;-22.9944;-46.7898;Próx. Rodovia Dom Pedro I
125359;2026-02-25;10:00;GUARULHOS;SP;0;-23.4271;-46.3903;Próx. Avenida Amâncio Gaiolli
125359;2026-02-25;11:00;GUARULHOS;SP;0;-23.4271;-46.3903;Próx. Avenida Amâncio Gaiolli
125359;2026-02-25;11:00;GUARULHOS;SP;0;-23.4271;-46.3903;Próx. Avenida Amâncio Gaiolli
125359;2026-02-25;11:00;GUARULHOS;SP;0;-23.4271;-46.3903;Próx. Avenida Amâncio Gaiolli
125359;2026-02-25;11:00;GUARULHOS;SP;0;-23.4271;-46.3903;Próx. Avenida Amâncio Gaiolli
125359;2026-02-25;11:00;GUARULHOS;SP;0;-23.4271;-46.3903;Próx. Avenida Amâncio Gaiolli
125359;2026-02-25;11:00;GUARULHOS;SP;77;-23.3937;-46.391;Rodoanel Mário Covas
125359;2026-02-25;11:00;GUARULHOS;SP;70;-23.3909;-46.4039;Próx. Rodoanel Mário Covas
125359;2026-02-25;12:00;GUARULHOS;SP;78;-23.389;-46.4432;Rodoanel Mário Covas
125359;2026-02-25;12:00;GUARULHOS;SP;77;-23.3917;-46.4501;Rodoanel Mário Covas
125359;2026-02-25;12:00;GUARULHOS;SP;77;-23.393;-46.4526;Rodoanel Mário Covas
125359;2026-02-25;12:00;GUARULHOS;SP;74;-23.3961;-46.4585;Rodoanel Mário Covas
125359;2026-02-25;12:00;GUARULHOS;SP;77;-23.4013;-46.5037;Rodoanel Mário Covas
125359;2026-02-25;12:00;GUARULHOS;SP;77;-23.4029;-46.5051;Rodoanel Mário Covas
125359;2026-02-25;12:00;GUARULHOS;SP;73;-23.4075;-46.5081;Rodoanel Mário Covas
